sku,productSubcategory,productName
FP1101,Chili,Bell Pepper Green Per Lb,Lb,#VALUE!
FP1271,Chili,Bell Pepper Mix Bag 1Lb,Lb,#VALUE!
FP1104,Chili,Bell Pepper Orange Per Lb,Lb,#VALUE!
FP1103,Chili,Bell Pepper Red Per/Lb,Lb,#VALUE!
FP1102,Chili,Bell Pepper Yellow Per Lb,Lb,#VALUE!
FP1148,Chili,Chili Anahiem Es Per Lb,Lb,#VALUE!
FP1227,Chili,Chili Fresno Red Per Lb,Lb,#VALUE!
FP1190,Chili,Chili Habenero Per Lb,Lb,#VALUE!
FP1097,Chili,Chili Hot Indian Long Per Lb,Lb,#VALUE!
FP1100,Chili,Chili Jalapeno Per/Lb,Lb,#VALUE!
FP1490,Chili,Chili Long Per Lb,Lb,#VALUE!
FP1397,Chili,Chili Mix Thai Per Lb,Lb,#VALUE!
FP1098,Chili,Chili Serrano Per Lb,Lb,#VALUE!
FP1096,Chili,Chili Thai Per Lb,Lb,#VALUE!
FP1260,Chili,Chili Thai Red Per Lb,Lb,#VALUE!
FP1099,Chili,Chili Yellow Per Lb,Lb,#VALUE!
FP1676,Chili,Chilli Crescendo Peppers Bag ,Ea,#VALUE!
FP1627,Chili,Chilli Pasilla per lb ,Lb,#VALUE!
FP1250,Chili,Sweet Mini Pepper Per Lb,Lb,#VALUE!
FP1009,Coconut,Coconut Ea,Ea,#VALUE!
FP1010,Coconut,Coconut Green Ea,Ea,#VALUE!
FP1655,Coconut,Coconut Pooja Ea,Ea,#VALUE!
FP1451,Coconut,Coconut W/Straw Ea,Ea,#VALUE!
FP1575,Coconut,Coconut White Each ,Ea,#VALUE!
FP1008,Coconut,Coconut Young Ea,Ea,#VALUE!
FP1109,Cucumbers,Cucumber English Ea,Ea,#VALUE!
FP1105,Cucumbers,Cucumber Field Per Lb,Lb,#VALUE!
FP1106,Cucumbers,Cucumber Persian Per Lb,Lb,#VALUE!
FP1107,Cucumbers,Cucumber Pickle Per Lb,Lb,#VALUE!
FP1526,Cucumbers,Squash Yellow Per Lb,Lb,#VALUE!
FP1108,Cucumbers,Tar Indian Per Lb,Lb,#VALUE!
FP1150,Cucumbers,Zucchini Green Per Lb,Lb,#VALUE!
FP1456,Cucumbers,Zucchini Grey Per Lb,Lb,#VALUE!
FP1447,Cut Veggies, Apni Mandi Cut Indian Carrot Per Lb,,#VALUE!
FP1443,Cut Veggies,All Natural Soybean Sprouts 12Oz,,#VALUE!
FP1156,Cut Veggies,Apni Mandi Chana Sprouts Per Lb,,#VALUE!
FP1241,Cut Veggies,Apni Mandi Cut And Clean Corn,,#VALUE!
FP1113,Cut Veggies,Apni Mandi Cut Beans Per lb,Lb,#VALUE!
FP1153,Cut Veggies,Apni Mandi Cut Beetroot Per Lb,,#VALUE!
FP1205,Cut Veggies,Apni Mandi Cut Brocoli Per lb,,#VALUE!
FP1154,Cut Veggies,Apni Mandi Cut Cabbage Per Lb,,#VALUE!
FP1387,Cut Veggies,Apni Mandi Cut Cantaloupe Tray,,#VALUE!
FP1114,Cut Veggies,Apni Mandi Cut Carrot /Lb ,Lb,#VALUE!
FP1471,Cut Veggies,Apni Mandi Cut Carrot & Green Beans Per Lb,,#VALUE!
FP1111,Cut Veggies,Apni Mandi Cut Cauliflower Per lb,Lb,#VALUE!
FP1448,Cut Veggies,Apni Mandi Cut Chinese Bittermelon Per Lb,,#VALUE!
FP1277,Cut Veggies,Apni Mandi Cut Corn 3Pcs,,#VALUE!
FP1651,Cut Veggies,Apni Mandi Cut Daikon,,#VALUE!
FP1489,Cut Veggies,Apni Mandi Cut Dragon Fruit Per lb,,#VALUE!
FP1112,Cut Veggies,Apni Mandi Cut Green Bell Pepper Per lb,Lb,#VALUE!
FP1457,Cut Veggies,Apni Mandi Cut Hawaiian Papaya Per Lb,,#VALUE!
FP1653,Cut Veggies,Apni Mandi Cut Honeydew Melon,,#VALUE!
FP1116,Cut Veggies,Apni Mandi Cut Jack Fruit Per Lb,Lb,#VALUE!
FP1151,Cut Veggies,Apni Mandi Cut Karela Per lb,,#VALUE!
FP1511,Cut Veggies,Apni Mandi Cut Long Beans per lb,,#VALUE!
FP1152,Cut Veggies,Apni Mandi Cut Mix Bellpepper Per lb,,#VALUE!
FP1652,Cut Veggies,Apni Mandi Cut Mix Fruit,,#VALUE!
FP1115,Cut Veggies,Apni Mandi Cut Mix Veg Per lb,Lb,#VALUE!
FP1461,Cut Veggies,Apni Mandi Cut Mushroom per lb,,#VALUE!
FP1444,Cut Veggies,Apni Mandi Cut Opo Per lb,,#VALUE!
FP1458,Cut Veggies,Apni Mandi Cut Pineapple per lb,,#VALUE!
FP1117,Cut Veggies,Apni Mandi Cut Taro/Arvi Per Lb,Lb,#VALUE!
FP1118,Cut Veggies,Apni Mandi Cut Tindora Per Lb,Lb,#VALUE!
FP1210,Cut Veggies,Apni Mandi Cut Turnip Per lb,,#VALUE!
FP1470,Cut Veggies,Apni Mandi Cut Water-Melon Ea,,#VALUE!
FP1255,Cut Veggies,Apni Mandi Cut White Pumpkin Per Lb,,#VALUE!
FP1385,Cut Veggies,Apni Mandi Cut Yellow Papaya Per Lb,,#VALUE!
FP1120,Cut Veggies,Apni Mandi Cut Yellow Pumpkin Per Lb,Lb,#VALUE!
FP1434,Cut Veggies,Apni Mandi Cut Zucchini Per Lb,,#VALUE!
FP1157,Cut Veggies,Apni Mandi Drumsticks Per lb,,#VALUE!
FP1119,Cut Veggies,Apni Mandi Green Sprouts Per lb,Lb,#VALUE!
FP1393,Cut Veggies,Apni Mandi Mix Bell Papper Cut Per Lb,,#VALUE!
FP1155,Cut Veggies,Apni Mandi Moth Sprouts Per lb,,#VALUE!
FP1525,Cut Veggies,Apni Mandi Pomegranate Cup,,#VALUE!
FP1284,Cut Veggies,Apni Mandi Sambar Mix Per lb,,#VALUE!
FP1388,Cut Veggies,Apni Mandi Sweet Yellow Grapes Box Per Lb,,#VALUE!
FP1441,Cut Veggies,Eggplant Apni Mandi Cut Per Lb,,#VALUE!
FP1110,Cut Veggies,Okra Apni Mandi Cut Per Lb,Lb,#VALUE!
FP1386,Cut Veggies,Pomegranate Cup Ea,,#VALUE!
FP1007,Egg Plant,Eggplant American Ea,Ea,#VALUE!
FP1005,Egg Plant,Eggplant Chinese Per Lb,Lb,#VALUE!
FP1304,Egg Plant,Eggplant Chinese Small Per Lb,Lb,#VALUE!
FP1429,Egg Plant,Eggplant Graffiti Big Per Lb,Lb,#VALUE!
FP1003,Egg Plant,Eggplant Graffiti Small Per Lb,Lb,#VALUE!
FP1004,Egg Plant,Eggplant Indian Per Lb,Lb,#VALUE!
FP1006,Egg Plant,Eggplant Italian Per Lb,Lb,#VALUE!
FP1001,Egg Plant,Eggplant Long Green Per Lb,Lb,#VALUE!
FP1530,Egg Plant,Eggplant Thai Big Per Lb,Lb,#VALUE!
FP1002,Egg Plant,Eggplant Thai Per Lb,Lb,#VALUE!
FP1292,Egg Plant,Eggplant White Thai Per Lb,Lb,#VALUE!
FP1512,Fruits,Apple Autumn Glory Per Lb,Lb,#VALUE!
FP1452,Fruits,Apple Cosmic Crisp Per Lb,Lb,#VALUE!
FP1121,Fruits,Apple Fuji Per Lb,Lb,#VALUE!
FP1495,Fruits,Apple Gala Per Lb,Lb,#VALUE!
FP1146,Fruits,Apple Gala Small Per Lb,Lb,#VALUE!
FP1158,Fruits,Apple Golden Delicious Per Lb,Lb,#VALUE!
FP1159,Fruits,Apple Green Per Lb,Lb,#VALUE!
FP1478,Fruits,Apple Honey Crisp Per Lb,Lb,#VALUE!
FP1534,Fruits,Apple Jazz Per Lb,Lb,#VALUE!
FP1509,Fruits,Apple Juici Per Lb,Lb,#VALUE!
FP1537,Fruits,Apple Kissabel Per Lb,Lb,#VALUE!
FP1527,Fruits,Apple Kissable 2Lb Bag,,#VALUE!
FP1483,Fruits,Apple Pink Lady Per Lb,Lb,#VALUE!
FP1196,Fruits,Apple Red Per Lb,Lb,#VALUE!
FP1640,Fruits,Apple Sunrise Magic Per lb,lb,#VALUE!
FP1161,Fruits,Apple Sweetango Per Lb,,#VALUE!
FP1536,Fruits,Apple Sweetie Per Lb,Lb,#VALUE!
FP1229,Fruits,Apricot Per Lb,Lb,#VALUE!
FP1445,Fruits,Avocados Bag,ct,#VALUE!
FP1533,Fruits,Banana Baby Manzano Per Lb,Lb,#VALUE!
FP1123,Fruits,Banana Baby Per Lb,Lb,#VALUE!
FP1145,Fruits,Banana Burro Per/Lb,Lb,#VALUE!
FP1122,Fruits,Banana Per Lb,Lb,#VALUE!
FP1164,Fruits,Blackberry Box Ea,Ea,#VALUE!
FP1142,Fruits,Blueberry Box,Ea,#VALUE!
FP1285,Fruits,Cherries Organic Per Lb,Lb,#VALUE!
FP1459,Fruits,Cherries Per Lb,Lb,#VALUE!
FP1276,Fruits,Cherries Ranier Per Lb,Lb,#VALUE!
FP1543,Fruits,Chikoo/ Sapote Per Lb,Lb,#VALUE!
FP1481,Fruits,Dates Fresh Yellow Per Lb,Lb,#VALUE!
FP1143,Fruits,Dragon Fruit Ea,Ea,#VALUE!
FP1541,Fruits,Fresh Tamarind,Lb,#VALUE!
FP1486,Fruits,Fuyu Persimmon Per Lb,Lb,#VALUE!
FP1528,Fruits,Grapefruit Cocktail Per Lb,Lb,#VALUE!
FP1131,Fruits,Grapes Black Per Lb,Lb,#VALUE!
FP1129,Fruits,Grapes Green Per Lb,Lb,#VALUE!
FP1130,Fruits,Grapes Red Per Lb,Lb,#VALUE!
FP1500,Fruits,Grapes Sunview Per Lb,Lb,#VALUE!
FP1669,Fruits,Guamuchil Per Lb,Lb,#VALUE!
FP1300,Fruits,Guava Baby Per Lb,Lb,#VALUE!
FP1138,Fruits,Guava Big Per Lb,Lb,#VALUE!
FP1139,Fruits,Guava Mexican Box,Ea,#VALUE!
FP1510,Fruits,Honey Pomelo Ea,Ea,#VALUE!
FP1496,Fruits,Italian Prunes Per Lb,Lb,#VALUE!
FP1675,Fruits,Jamun Box ,Ea,#VALUE!
FP1497,Fruits,Jujube Fresh Per Lb,Lb,#VALUE!
FP1691,Fruits,Cantaloupe Melon,Ea,#VALUE!
FP1128,Fruits,Kiwi Per Lb,Lb,#VALUE!
FP1202,Fruits,Lychee Per Lb,Lb,#VALUE!
FP1646,Fruits,Mango Alphonso Mini Box ,Ea,#VALUE!
FP1673,Fruits,Mango Atulfo 10CT Box,Ea,#VALUE!
FP1665,Fruits,Mango Atulfo 12ct,ea,#VALUE!
FP1666,Fruits,Mango Atulfo 14ct,ea,#VALUE!
FP1399,Fruits,Mango Atulfo 6Pc Pack,,#VALUE!
FP1644,Fruits,Mango Atulfo Box 20ct,Ea,#VALUE!
FP1631,Fruits,Mango Atulfo Box 24ct,Ea,#VALUE!
FP1662,Fruits,Mango Atulfo Organic 14ct,ea,#VALUE!
FP1642,Fruits,Mango Atulfo Organic 16CT,Ea,#VALUE!
FP1668,Fruits,Mango Atulfo Organic 18ct,ea,#VALUE!
FP1688,Fruits,Mango Atulfo Organic 20CT,Ea,#VALUE!
FP1667,Fruits,Mango Columbia Box,,#VALUE!
FP1262,Fruits,Mango Heden Box 9Pcs Ea,Ea,#VALUE!
FP1648,Fruits,Mango Himayat Box,Ea,#VALUE!
FP1677,Fruits,Mango Kent 10ct,,#VALUE!
FP1679,Fruits,Mango Kent 6CT Box,Ea,#VALUE!
FP1664,Fruits,Mango Kent 7ct,ea,#VALUE!
FP1674,Fruits,Mango Kent 9CT Box,Ea,#VALUE!
FP1274,Fruits,Mango Kent Box -12 Ea,Ea,#VALUE!
FP1647,Fruits,Mango Langda Box,Ea,#VALUE!
FP1654,Fruits,Mango Malika Box,Ea,#VALUE!
FP1522,Fruits,Mango Mambo 9Pcs Ea,Ea,#VALUE!
FP1663,Fruits,Mango Manila 14ct,ea,#VALUE!
FP1635,Fruits,Mango Manila box 22ct,Ea,#VALUE!
FP1639,Fruits,Mango Mingolo box8ct,Ea,#VALUE!
FP1656,Fruits,Mango Payari Box,Ea,#VALUE!
FP1638,Fruits,Mango Rajapuri box,Ea,#VALUE!
FP1632,Fruits,Mango Rasalu box,Ea,#VALUE!
FP1256,Fruits,Mango Single Ea,Ea,#VALUE!
FP1670,Fruits,Mango Tommy 10CT,Ea,#VALUE!
FP1641,Fruits,Mango Tommy 12CT,Ea,#VALUE!
FP1263,Fruits,Mango Tommy 9Pcs Ea,Ea,#VALUE!
FP1633,Fruits,Mango Tree Riped Per lb ,Lb,#VALUE!
FP1649,Fruits,Mango ZZ banganpalli Box,Ea,#VALUE!
FP1657,Fruits,Mango Zz Himayat Box,Ea,#VALUE!
FP1650,Fruits,Mango ZZ Kesar Box,Ea,#VALUE!
FP1671,Fruits,Mango ZZ Langra Box,Ea,#VALUE!
FP1672,Fruits,Mango ZZ Langra Box,Ea,#VALUE!
FP1680,Fruits,Mango ZZ Ratol Box ,Ea,#VALUE!
FP1681,Fruits,Mango ZZ Sindri Box ,Ea,#VALUE!
FP1133,Fruits,Melon Cantaloupe Ea,Ea,#VALUE!
FP1160,Fruits,Melon Golden Ea,Ea,#VALUE!
FP1132,Fruits,Melon Honeydew Per Lb,Lb,#VALUE!
FP1140,Fruits,Mini Watermelon Ea,Ea,#VALUE!
FP1248,Fruits,Nectarine Per Lb,Lb,#VALUE!
FP1484,Fruits,Nectarine White Per Lb,Lb,#VALUE!
FP1538,Fruits,Orange Cara Cara Per Lb,Lb,#VALUE!
FP1192,Fruits,Orange Mandarin Orri Gold Cup Per Lb,Lb,#VALUE!
FP1517,Fruits,Orange Mandarin Satsuma Per Lb,Lb,#VALUE!
FP1584,Fruits,Orange Mandarin With Leaves Per Lb ,Lb,#VALUE!
FP1487,Fruits,Orange Minneola Per Lb,Lb,#VALUE!
FP1124,Fruits,Orange Naval Per Lb,Lb,#VALUE!
FP1266,Fruits,Orange Tangerine Bag 3Lb Approx.,Ea,#VALUE!
FP1125,Fruits,Orange Tangerine Per Lb,Lb,#VALUE!
FP1518,Fruits,Orange Tangerine With Leaves Per Lb,Lb,#VALUE!
FP1126,Fruits,Papaya Green Papaya Per Lb,Lb,#VALUE!
FP1147,Fruits,Papaya Hawaiian Papaya Ea,Ea,#VALUE!
FP1127,Fruits,Papaya Yellow Papaya Per Lb,Lb,#VALUE!
FP1144,Fruits,Peach Per Lb,Lb,#VALUE!
FP1193,Fruits,Peach White Per Lb,Lb,#VALUE!
FP1194,Fruits,Peach Yellow Per Lb,Lb,#VALUE!
FP1524,Fruits,Pear Brown Pack Of 3,,#VALUE!
FP1442,Fruits,Pear D'Anjou ,Lb,#VALUE!
FP1540,Fruits,Pear French Butter S Per Lb,Lb,#VALUE!
FP1249,Fruits,Pear Red Per Lb,Lb,#VALUE!
FP1514,Fruits,Pear Shinko Brown S Per Lb,Lb,#VALUE!
FP1689,Fruits,Pear Starkrimson Per Lb,Lb,#VALUE!
FP1498,Fruits,Pears Bartlett Per Lb,Lb,#VALUE!
FP1513,Fruits,Pears Crown Per Lb,Lb,#VALUE!
FP1523,Fruits,Pears Golden  Box,,#VALUE!
FP1162,Fruits,Pineapple Ea,Ea,#VALUE!
FP1690,Fruits,Plum Black Box Each,Ea,#VALUE!
FP1135,Fruits,Plum Black Per Lb,Lb,#VALUE!
FP1508,Fruits,Plum Green Per Lb,Lb,#VALUE!
FP1134,Fruits,Plum Red Per Lb,Lb,#VALUE!
FP1480,Fruits,Plum Sierra Honey Per Lb,Lb,#VALUE!
FP1507,Fruits,Plumcot -Plum Cherry Per Lb,Lb,#VALUE!
FP1137,Fruits,Pomegranate Ea,Lb,#VALUE!
FP1474,Fruits,Rambutan Per Lb,Lb,#VALUE!
FP1432,Fruits,Raspberry Box,EA,#VALUE!
FP1265,Fruits,Small Pomegranate Per Lb,Lb,#VALUE!
FP1136,Fruits,Strawberry Box,Ea,#VALUE!
FP1521,Fruits,Sugarcane Ea,Ea,#VALUE!
FP1163,Fruits,Tamarind Sweet Box,,#VALUE!
FP1678,Fruits,Tree Tomatoes Per Lb ,Lb,#VALUE!
FP1141,Fruits,Watermelon Big Ea,Ea,#VALUE!
FP1623,Fruits ,Almond Shelled Per Lb ,Lb,#VALUE!
FP1570,Fruits ,Apple Ambrosia Per Lb ,Lb,#VALUE!
FP1610,Fruits ,Apple Braeburn,Lb,#VALUE!
FP1604,Fruits ,Apple Evercrisp Per Lb ,Lb,#VALUE!
FP1563,Fruits ,Apple Fuji China Per Lb ,Lb,#VALUE!
FP1574,Fruits ,Apple Fuji Organic Per Lb ,Lb,#VALUE!
FP1573,Fruits ,Apple Gala Organic Per Lb,Lb,#VALUE!
FP1595,Fruits ,Apple Koru Per Lb ,Lb,#VALUE!
FP1562,Fruits ,Apple Rave Per Lb,Lb,#VALUE!
FP1605,Fruits ,Blueberry Box 510G,Ea,#VALUE!
FP1583,Fruits ,Dragon Fruit Yellow Ea,Ea,#VALUE!
FP1582,Fruits ,Grape Candy Red Heart 3Lb,Ea,#VALUE!
