sku,productSubcategory,productName
FP1612,Fruits ,Taro Root 38-40 Lbs,Lb,
FP1531,Regular Veggies,Avocado 2 For $1,,
FP1588,Regular veggies,Bean Sprouts Pack Each ,Ea,
FP1505,Regular Veggies,Corn Bunch(3) Halloween,,
FP1616,Regular veggies,Cucumber English 3 For $1,Ea,
FP1596,Regular veggies,Lime 3 For $1,,
FP1598,Regular veggies,Lime 4 For $1,Ea,
FP1503,Regular Veggies,Pumpkin Halloween Medium ,,
FP1502,Regular Veggies,Pumpkin Halloween Small ,,
FP1506,Regular Veggies,Pumpkin Halloween Toy ,,
FP1504,Regular Veggies,Pumpkin Hallowen Large ,,
FP1520,Regular Veggies,Wallnut Shelled,Lb,
FP1569,Regular veggies ,Lime 5 For $1,,
FP1539,Veg Leaves,Cilantro 3 For 1,,
FP1535,Veg Leaves,Onion Green 3 F0R 1,,
FP1617,Veg Leaves ,Cilantro 2 For1,Ea,
FP1660,Veg Leaves ,Manathakali Leaves ,Ea,
FP1643,Veg Leaves ,Onion Green 2 For 1,Ea,
FP1659,Veg Leaves ,Ponnagani Keerai Leaves,Ea,
FP1592,Veg Leaves ,Snow Tip Leaves Per Lb,Lb,
FP1687,,Apple Lemonade Per Lb,Lb,
FP1683,,Mango ZZ Chaunsa Box,Ea,
FP1685,,Orange Mineolas Per Lb,Lb,
FP1682,,Orange Valencia Per Lb,Lb,
FP1686,,Tomato Vine Box ,Ea,